onset	duration	response_time	trial_type	block	value	exp_value
18.053	1.70	n/a	Test_1Back	1	n/a	n/a
20.253	1.70	0.944	Test_1Back	1	n	n
22.453	1.70	0.909	Test_1Back	1	c	c
24.653	1.70	0.911	Test_1Back	1	n	n
26.853	1.70	1.001	Test_1Back	1	c	c
29.053	1.70	0.924	Test_1Back	1	n	n
31.253	1.70	0.939	Test_1Back	1	c	c
33.453	1.70	0.932	Test_1Back	1	n	c
35.653	1.70	0.966	Test_1Back	1	n	n
37.853	1.70	1.004	Test_1Back	1	n	n
40.053	1.70	0.800	Test_1Back	1	n	n
42.253	1.70	0.772	Test_1Back	1	c	c
44.453	1.70	0.880	Test_1Back	1	c	c
46.653	1.70	0.690	Test_1Back	1	c	c
48.853	1.70	0.816	Test_1Back	1	n	n
51.053	1.70	1.057	Test_1Back	1	c	c
73.253	1.70	n/a	Test_2Back	2	n/a	n/a
75.453	1.70	n/a	Test_2Back	2	n/a	n/a
77.653	1.70	1.176	Test_2Back	2	c	c
79.853	1.70	1.028	Test_2Back	2	n	n
82.053	1.70	1.008	Test_2Back	2	n	c
84.253	1.70	0.801	Test_2Back	2	c	c
86.453	1.70	1.027	Test_2Back	2	n	n
88.653	1.70	1.128	Test_2Back	2	n	n
90.853	1.70	0.926	Test_2Back	2	c	c
93.053	1.70	0.919	Test_2Back	2	n	c
95.253	1.70	1.025	Test_2Back	2	n	n
97.453	1.70	1.005	Test_2Back	2	c	n
99.653	1.70	1.048	Test_2Back	2	n	n
101.853	1.70	0.917	Test_2Back	2	c	c
104.053	1.70	0.949	Test_2Back	2	c	c
106.253	1.70	0.896	Test_2Back	2	c	c
128.453	1.70	n/a	Test_3Back	3	n/a	n/a
130.653	1.70	n/a	Test_3Back	3	n/a	n/a
132.853	1.70	n/a	Test_3Back	3	n/a	n/a
135.053	1.70	1.095	Test_3Back	3	n	n
137.253	1.70	1.298	Test_3Back	3	n	n
139.453	1.70	1.194	Test_3Back	3	n	n
141.653	1.70	1.237	Test_3Back	3	n	n
143.853	1.70	1.193	Test_3Back	3	n	n
146.053	1.70	1.088	Test_3Back	3	c	c
148.253	1.70	1.016	Test_3Back	3	c	c
150.453	1.70	1.137	Test_3Back	3	n	n
